"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"BLOG-000","P0","1","both","建立博客完善验收基线","把现有 plan 和 ROADMAP 收敛成一份可勾选的验收边界清单。该任务只定义范围、完成口径和证据位置，不直接推进实现。","仓库内存在一份验收清单文档，至少覆盖访问可用、真实数据、评论、部署回滚、自动化测试 5 类；每条都有完成定义、证据位置和阻塞记录入口。","AUTOE2E","Review 时确认验收项能逐一映射到现有 plan/roadmap，且没有与后续 issue 重复或互相冲突的边界。","回归时逐项对照 issues CSV 与清单，确认不存在未登记的新范围，且所有证据链接都可打开。","已完成","已完成","已完成","已提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:16;ROADMAP.md:95;docs/project-acceptance-baseline.md:1","picked_reason:P0 baseline issue that fixes the shared acceptance boundary before feature work; done_at:2026-03-21T12:26:00+08:00; evidence:added repository acceptance baseline with five checklist categories and completion gate; validation_limited:no automated AUTOE2E runner is applicable for this documentation-only issue; manual_test:review docs/project-acceptance-baseline.md against ROADMAP.md and the current issues CSV checklist fields; risk:low documentation-only change"
"BLOG-010","P0","2","both","梳理生产配置与密钥来源","盘点域名、证书、反向代理、K3s、GitHub Secrets 与站点环境变量的真实来源。输出一份配置源映射，区分代码项与环境项。","形成一份配置矩阵，覆盖 DNS、证书、代理、Ingress、SITE_URL、API_BASE_URL、Secrets；每项标明来源、当前值入口、修改责任人与生效路径。","AUTOE2E","Review 时确认没有遗漏运行时配置、密钥来源或域名入口，且代码内环境变量命名与实际部署值一致。","回归时按配置矩阵抽查至少一轮真实环境读取，确认文档与仓库配置、集群配置没有偏差。","已完成","已完成","已完成","已提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:17;README.md:23;frontend/src/app/layout.tsx:8;frontend/src/lib/api.ts:44;docs/production-config-matrix.md:1","picked_reason:P0 config inventory unblocks domain, proxy, ingress, and CI follow-up issues; done_at:2026-03-21T12:30:00+08:00; evidence:added repository-grounded production configuration matrix covering DNS, TLS, proxy, ingress, env vars, and CI secrets entry points; validation_limited:no live DNS, proxy host, or GitHub Actions environment was available for end-to-end verification in this workspace; manual_test:check docs/production-config-matrix.md against the live DNS console, proxy host config, kubectl ingress output, and GitHub Actions secrets configuration; risk:medium external systems may differ from repository defaults until live environment is checked"
"BLOG-020","P0","3","both","验证公网访问链路断点","从域名到主节点、再到 Ingress 和前后端服务逐段验证访问链路。该任务的目标是定位断点并保留可复现的检查命令。","输出一套链路检查脚本或命令清单，至少覆盖 b022mc.cn、www.b022mc.cn、/、/api 与集群入口；能明确指出当前失败发生在哪一段。","AUTOE2E","Review 时确认检查顺序覆盖公网、代理、集群、服务四层，且命令结果可复现、无依赖个人环境的隐式假设。","回归时重新执行同一套链路检查，要求所有断点都能得到成功或明确的新失败原因，不允许出现无法归因的错误。","已完成","已完成","已完成","已提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:18;backend/deploy/k8s/services/frontend/ingress.yaml:1;.github/workflows/ci.yaml:176;scripts/check-public-chain.sh:1;docs/public-access-diagnostics.md:1","picked_reason:P0 chain diagnostics can be implemented locally and reused for later ingress or proxy failures; done_at:2026-03-21T12:35:00+08:00; evidence:bash -n passed for scripts/check-public-chain.sh and a live SKIP_K8S=1 run resolved both domains, showed TLS failure on b022mc.cn, and returned HTTP 500 on www.b022mc.cn/api/v1/articles; validation_limited:node-port and kubectl checks were not run because NODE_HOST was unset and cluster access was unavailable in this workspace; manual_test:NODE_HOST=<public-node-ip> bash scripts/check-public-chain.sh and compare ingress, node-port, and public results to isolate the failing hop; risk:medium the script is validated, but cluster-internal hop diagnosis still depends on live node and kubectl access"
"BLOG-030","P0","4","both","修复主节点反向代理上游","把主节点反向代理指向真实可达的上游地址，并把端口、路由和证书目录写进运维说明。该任务聚焦入口恢复，不扩散到业务功能改造。","www 域名经 HTTPS 访问不再返回 502；代理配置中上游地址、Host/Forwarded 头和回滚步骤均被记录；至少一次重载后的连通性验证通过。","AUTOE2E","Review 时确认代理变更没有绕过 TLS、没有新增硬编码临时端口，并且具备明确回滚命令。","回归时分别验证 HTTPS 访问、上游异常日志和回滚路径，确认代理恢复后故障可观测且能快速恢复。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:19;ROADMAP.md:46;backend/deploy/k8s/services/frontend/ingress.yaml:9",""
"BLOG-040","P0","5","both","收口根域名与 HTTPS 策略","统一根域名和 www 域名的 DNS、证书、续期与跳转策略。该任务要明确唯一主域名及其 canonical 行为。","b022mc.cn 与 www.b022mc.cn 均可稳定通过 HTTPS 访问；主域名与 301 跳转规则被明确记录；证书续期方式和告警入口可查。","AUTOE2E","Review 时确认 DNS 指向、TTL、证书绑定和前端 metadataBase 一致，不出现双主域名或混合协议。","回归时验证两域名的 HTTP/HTTPS、重定向链和证书有效期，确认不会出现循环跳转或错误证书。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:20;backend/deploy/k8s/services/frontend/ingress.yaml:9;frontend/src/app/layout.tsx:23",""
"BLOG-050","P0","6","both","加固 K3s Ingress 与服务入口","检查 Ingress、Service、探针和镜像拉取配置，确保前端 / 与后端 /api 的路由在集群内外都稳定。该任务不改业务协议，只修正入口稳定性。","集群内外访问 / 与 /api 均能命中正确服务；Ingress/Service 配置与部署镜像版本一致；探针失败时能从 kubectl 输出中快速定位。","AUTOE2E","Review 时确认路由规则、端口映射、探针与镜像标签没有脱节，也没有把临时调试配置写死到清单中。","回归时执行一次部署后的 Ingress 与 Service 验证，确认滚动更新期间入口不中断且探针日志可读。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:21;backend/deploy/k8s/services/frontend/ingress.yaml:1;.github/workflows/ci.yaml:220",""
"BLOG-060","P0","7","both","落地 frontend 与 blog-api 健康检查","为前端和 blog-api 设计可脚本化的健康检查或 smoke URL，并接入部署后的验收链路。任务边界是健康检查定义与接线，不扩展监控平台建设。","至少存在两个可自动执行的健康检查入口，覆盖 frontend 与 blog-api；部署脚本会在 rollout 后执行检查，并在失败时输出明确诊断。","AUTOE2E","Review 时确认健康检查不依赖脆弱页面状态，返回码和失败日志对排障有价值，且不会把真实故障误判为通过。","回归时在成功与失败两种场景下各跑一轮，确认健康检查既能通过健康版本，也能对故障版本给出明确失败信号。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:22;.github/workflows/ci.yaml:191;backend/app/blog-api/internal/server/http.go:43",""
"BLOG-070","P1","8","frontend","统一前端 API 错误模型","重构前端 API 层的错误对象、状态码解析、超时与鉴权失败处理。边界是请求层与调用约定，不直接改具体页面布局。","API 层对 4xx、5xx、网络错误和超时给出可区分的错误类型；调用方能读取统一错误结构；401/403 分支具备明确处理路径。","AUTOFRONTEND","Review 时确认错误对象字段稳定、不会吞掉原始状态码与 message，且浏览器端与服务端请求路径保持一致。","回归时针对成功、4xx、5xx、超时、离线场景分别验证，确认页面能根据统一错误模型展示正确反馈。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:23;frontend/src/lib/api.ts:44;frontend/src/lib/api.ts:59",""
"BLOG-080","P1","9","frontend","移除默认 mock 数据回退","把文章列表、详情、搜索和标签默认回退 mock 的行为改成明确错误态或仅限本地开发开关。任务目标是暴露真实后端状态，不保留隐式伪成功。","生产构建与默认开发路径下不再静默使用 mockArticles；当接口失败时页面展示可识别的错误态或空态；如保留本地开关，需显式命名并默认关闭。","AUTOFRONTEND","Review 时确认 mock 逻辑不会继续在默认路径生效，且错误态文案不会误导为“暂无数据”。","回归时模拟文章列表、详情、搜索、标签接口失败，确认页面全部进入可见错误态且不会展示样例文章。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:24;frontend/src/lib/api.ts:143;frontend/src/lib/api.ts:205",""
"BLOG-090","P1","10","frontend","统一核心页面数据态","为首页、标签页、详情页和后台页统一补齐 loading、empty、error、retry 四种状态。任务边界是数据态与交互反馈，不改站点信息架构。","四个核心页面都存在明确的加载中、空态、错误态和重试入口；失败后可重新触发请求；视觉文案不再把失败误判为空数据。","AUTOFRONTEND","Review 时确认四种状态在不同页面的交互一致，避免重复请求、闪烁或重试后状态残留。","回归时逐页模拟成功、空结果和接口失败，确认状态切换正确且 retry 能恢复正常渲染。","未开始","未开始","未开始","未提交","","plan/2026-03-21_12-08-57-improve-blog-overall.md:25;frontend/src/app/page.tsx:158;frontend/src/app/tags/page.tsx:23;frontend/src/app/blog/[slug]/page.tsx:22;frontend/src/app/admin/page.tsx:31",""
